Designator,Footprint,Quantity,Value,LCSC Part #
"C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0603,18,0.1u,
"C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7",0805,45,10u,
"J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,9,Conn_01x04,
"J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x06_P2.54mm_Vertical,18,Conn_01x06_Pin,
"J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4, J5_9, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5, J6_9, J6_8, J6_7, J6_6, J6_5, J6_4, J6_3, J6_2, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,27,Conn_01x02,
"U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOP-8_3.76x4.96mm_P1.27mm,18,AM2837,
